127.0.0.1 - - [12/Nov/2020:09:32:05 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/index.html HTTP/1.1" 200 14775
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/js/util.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/js/CadastroProduto.js HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/js/CadastroUsuario.js HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/index.js HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/js/Vendas.js HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:06 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/index.html HTTP/1.1" 200 14775
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/dist/css/AdminLTE.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/dist/css/skins/skin-blue.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/js/CadastroUsuario.js HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/js/CadastroProduto.js HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/js/util.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/js/Vendas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:13 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&codigo=&descricao=&preco-custo=&preco-venda=&categoria=&fornecedor=&qtd-estoque= HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:15 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:17 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&codigo=&descricao=&preco-custo=&preco-venda=&categoria=&fornecedor=&qtd-estoque= HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:19 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:21 -0300] "GET /MakeAndCia/Controller?service=ExcluiUsuario&idUserCad=15&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:21 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=15&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:21 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=15&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:23 -0300] "GET /MakeAndCia/Controller?service=ExcluiUsuario&idUserCad=14&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:23 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=14&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:23 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=14&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:25 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:32:31 -0300] "GET /MakeAndCia/Controller?service=ConsultarProduto&identCad=161&preCarQuantidade= HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:33:28 -0300] "GET /MakeAndCia/www/index.html?identCad=161&preCarQuantidade=50 HTTP/1.1" 200 14775
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:33:28 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:33:28 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&codigo=&descricao=&preco-custo=&preco-venda=&categoria=&fornecedor=&qtd-estoque= HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:35:54 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:35:57 -0300] "GET /MakeAndCia/Controller?service=ConsultarProduto&identCad=162&preCarQuantidade= HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:36:24 -0300] "GET /MakeAndCia/Controller?service=ConsultarProduto&identCad=162&preCarQuantidade= HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:38:06 -0300] "GET /MakeAndCia/www/bower_components/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/index.html?identCad=161&preCarQuantidade=50 HTTP/1.1" 200 14811
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/index.js HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/js/util.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/js/CadastroUsuario.js HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/js/CadastroProduto.js HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/js/Vendas.js HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&codigo=&descricao=&preco-custo=&preco-venda=&categoria=&fornecedor=&qtd-estoque= HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=&nome=&login=&senha=&isAdmin= HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/index.html?identCad=161&preCarQuantidade=50 HTTP/1.1" 200 14811
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [12/Nov/2020:09:48:32 -0300] "GET /MakeAndCia/www/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
