127.0.0.1 - - [11/Nov/2020:19:18:30 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/index.html HTTP/1.1" 200 16473
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/js/util.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/js/CadastroProduto.js HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/js/CadastroUsuario.js HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/index.js HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:31 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/index.html HTTP/1.1" 200 16473
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/index.js HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/js/CadastroProduto.js HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [11/Nov/2020:19:18:37 -0300] "GET /MakeAndCia/www/js/util.js HTTP/1.1" 200 302
